epoch,log1_dice,log2_dice,dice_diff_log2_minus_log1,log1_hd95,log2_hd95,hd95_diff_log2_minus_log1
0,0.16501621140643816,0.1050322582013905,-0.05998395320504765,73.6420402160517,73.18143717447917,-0.46060304157252574
1,0.23440531815216148,0.1122521481787165,-0.12215316997344498,72.78562778099443,74.52271016438802,1.7370823833935845
2,0.4536292272616465,0.590139369169871,0.13651014190822447,56.12519717819108,18.326531092325848,-37.798666085865236
3,0.6655871519660247,0.6847227414449056,0.019135589478880943,16.428269390569714,14.334512074788412,-2.0937573157813016
4,0.7044093770759735,0.7176953355471293,0.013285958471155768,14.590251989904553,13.232036590576172,-1.3582153993283814
5,0.7148463848878678,0.7275493741035461,0.012702989215678362,11.661405576810447,10.678913752237955,-0.9824918245724916
6,0.7417164730219316,0.7442378997802734,0.0025214267583418826,13.491227026128533,11.829394976298014,-1.6618320498305188
7,0.7598338865684854,0.7640201449394226,0.004186258370937224,10.5268582945876,9.690427621205648,-0.8364306733819511
8,0.738421980513723,0.7671029766400655,0.02868099612634256,16.430419759019255,10.149659156799316,-6.280760602219939
9,0.7756976587877261,0.7629865209261576,-0.012711137861568522,9.874163042607805,9.04964017868042,-0.8245228639273847
10,0.7905184348005122,0.7916320164998373,0.0011135816993250724,10.05366430199399,9.332217534383139,-0.7214467676108516
11,0.783122485081165,0.7782840728759766,-0.004838412205188436,9.563934941473606,9.151208559672037,-0.4127263818015692
12,0.7867796714947318,0.7783739765485128,-0.008405694946219011,10.108447544425688,8.96642780303955,-1.1420197413861377
13,0.806797641669915,0.7773120204607645,-0.029485621209150437,8.17257757516058,10.011847496032715,1.8392699208721357
14,0.807825231498957,0.8077149589856466,-0.00011027251331041654,10.468815789566106,7.918440659840901,-2.5503751297252046
15,0.8141879638462965,0.8070951302846273,-0.007092833561669232,9.715855903276292,9.000016530354818,-0.715839372921474
16,0.815490103535879,0.8111000657081604,-0.004390037827718629,8.760210126344923,9.60589599609375,0.8456858697488272
17,0.8361685766446771,0.821803092956543,-0.014365483688134173,7.245071904583175,7.056935469309489,-0.18813643527368562
18,0.8276332939201044,0.8164027531941732,-0.011230540725931215,6.988414403216802,8.167744477589926,1.1793300743731239
19,0.8226943250615314,0.8238547643025717,0.0011604392410402564,9.515721312474046,8.073278903961182,-1.4424424085128642
20,0.8266046260326146,0.8322702248891195,0.005665598856504861,7.348602728593029,7.270028273264567,-0.07857445532846175
21,0.8447124761728552,0.8261435031890869,-0.01856897298376825,6.346473064979659,7.592321395874023,1.2458483308943649
22,0.818014861004338,0.8333021799723307,0.015287318967992736,9.003655314481165,8.234366734822592,-0.7692885796585731
23,0.8336622471083625,0.8279840151468912,-0.005678231961471214,7.644086451929533,8.22360372543335,0.579517273503817
24,0.8244251641788413,0.8340977629025778,0.009672598723736492,10.268073465164889,7.43111515045166,-2.836958314713229
25,0.8332712583350083,0.837734599908193,0.0044633415731847315,6.929399628968505,7.0837357838948565,0.15433615492635155
26,0.8459649660594576,0.8398171861966451,-0.0061477798628124525,6.747529692130503,7.1356587409973145,0.3881290488668112
27,0.8214801335065024,0.8383953968683878,0.016915263361885424,8.271660049605154,6.687373638153076,-1.5842864114520783
28,0.8355036751449564,0.8478975296020508,0.0123938544570944,6.7668496105381815,6.237099965413411,-0.5297496451247703
