epoch,log1_dice,log2_dice,dice_diff_log2_minus_log1,log1_hd95,log2_hd95,hd95_diff_log2_minus_log1
0,0.1650109340487309,0.16501621140643816,5.277357707250685e-06,73.63656054723538,73.6420402160517,0.005479668816320782
1,0.23430148237348195,0.23440531815216148,0.00010383577867953409,72.8108431807925,72.78562778099443,-0.025215399798071303
2,0.5027230868677633,0.4536292272616465,-0.04909385960611684,51.31993257193282,56.12519717819108,4.8052646062582625
3,0.6757017350194632,0.6655871519660247,-0.010114583053438486,14.16752120319669,16.428269390569714,2.2607481873730233
4,0.71069729987695,0.7044093770759735,-0.006287922800976453,15.292741842701217,14.590251989904553,-0.7024898527966634
5,0.7214875143873551,0.7148463848878678,-0.006641129499487364,11.964668920563904,11.661405576810447,-0.3032633437534571
6,0.7469801866967036,0.7417164730219316,-0.005263713674772075,12.177320952839239,13.491227026128533,1.313906073289294
7,0.7598297537578248,0.7598338865684854,4.132810660584241e-06,10.64347154277263,10.5268582945876,-0.11661324818503083
8,0.7582666319844914,0.738421980513723,-0.019844651470768415,13.082454146444974,16.430419759019255,3.3479656125742814
9,0.7783972438558949,0.7756976587877261,-0.0026995850681688083,9.146280704759347,9.874163042607805,0.7278823378484578
10,0.7869863151771476,0.7905184348005122,0.003532119623364638,9.486884516802844,10.05366430199399,0.5667797851911462
11,0.7745977710340034,0.783122485081165,0.008524714047161597,10.086672674253345,9.563934941473606,-0.5227377327797385
12,0.7982235427811477,0.7867796714947318,-0.011443871286415885,8.933436161322065,10.108447544425688,1.175011383103623
13,0.8002913343970235,0.806797641669915,0.006506307272891476,9.167633142677333,8.17257757516058,-0.9950555675167543
14,0.8180582371233461,0.807825231498957,-0.010233005624389113,8.458114955643035,10.468815789566106,2.010700833923071
15,0.7652679695011138,0.8141879638462965,0.04891999434518279,19.648500937511198,9.715855903276292,-9.932645034234906
16,0.8215602662881766,0.815490103535879,-0.006070162752297548,8.052574842247976,8.760210126344923,0.7076352840969466
17,0.8134904852567096,0.8361685766446771,0.022678091387967503,8.861317844760427,7.245071904583175,-1.6162459401772518
18,0.8026910422815198,0.8276332939201044,0.024942251638584656,10.126966143396453,6.988414403216802,-3.1385517401796514
19,0.8239636965179247,0.8226943250615314,-0.0012693714563932756,9.010867318003239,9.515721312474046,0.5048539944708068
20,0.8148710275300962,0.8266046260326146,0.011733598502518428,9.713888525405144,7.348602728593029,-2.365285796812115
21,0.837016035257521,0.8447124761728552,0.007696440915334168,7.158834226839338,6.346473064979659,-0.8123611618596795
22,0.8259019495998138,0.818014861004338,-0.007887088595475822,8.506383896779765,9.003655314481165,0.49727141770140015
23,0.8364820039810411,0.8336622471083625,-0.002819756872678658,7.602067309784437,7.644086451929533,0.0420191421450955
24,0.8412190938423395,0.8244251641788413,-0.01679392966349824,7.882312945543279,10.268073465164889,2.38576051962161
25,0.8372192086898318,0.8332712583350083,-0.003947950354823537,7.096998376325929,6.929399628968505,-0.16759874735742386
26,0.8366105067092652,0.8459649660594576,0.009354459350192412,6.840465806123205,6.747529692130503,-0.09293611399270141
27,0.8403630489651901,0.8214801335065024,-0.0188829154586877,6.219710081322757,8.271660049605154,2.051949968282398
28,0.8433975851636967,0.8355036751449564,-0.007893910018740291,7.433212313661927,6.7668496105381815,-0.6663627031237453
29,0.8519965145382153,0.8353950040164518,-0.016601510521763507,5.522686313204377,6.06512145702904,0.5424351438246626
30,0.8520790020899276,0.8468216804270389,-0.005257321662888725,5.847442477229009,6.981279565136759,1.1338370879077502
31,0.847183583024576,0.8465415323328228,-0.0006420506917531599,6.1412604947513705,5.878084406591078,-0.2631760881602929
32,0.8415045613852573,0.84526788304151,0.003763321656252705,6.284583977469981,5.881762401260663,-0.4028215762093179
33,0.8608849022508746,0.8582646657364902,-0.0026202365143843664,5.326342680479322,5.354100208895935,0.027757528416612942
34,0.8437294306385207,0.8515344846307369,0.007805053992216204,6.8037339211413626,6.282495398297823,-0.5212385228435394
35,0.8581357601173528,0.8539438685419712,-0.004191891575381579,5.5613963012968215,6.378064711245638,0.8166684099488162
36,0.8505322521540033,0.852320012709475,0.0017877605554716958,5.396910372349417,6.141897621699864,0.744987249350447
37,0.8513641477328825,0.8471873178238757,-0.004176829909006807,5.849727545802826,5.414460112700302,-0.43526743310252414
38,0.8508719692159379,0.8488043695355988,-0.002067599680339094,5.840534889778979,6.528635951647334,0.6881010618683545
39,0.8498992907367762,0.8568569041527997,0.006957613416023523,6.213663486036878,5.046553480443208,-1.1671100055936696
40,0.849234091878802,0.854023932259957,0.004789840381154931,7.268674255196419,5.550294292096498,-1.7183799630999212
41,0.8688471823293994,0.8549099622601135,-0.013937220069285883,5.03335377528142,6.208405385649598,1.175051610368178
42,0.8541750866871292,0.8535766271261119,-0.0005984595610172283,5.452537466996371,5.928420138952113,0.4758826719557421
43,0.8667279537979414,0.8618955019886179,-0.004832451809323568,5.429787551502623,5.585965414089022,0.15617786258639832
44,0.8469873030626256,0.859985820632438,0.012998517569812407,6.675366658536216,5.635706495292212,-1.0396601632440046
45,0.8611609468097342,0.8630276070228889,0.001866660213154736,4.801053336909053,4.921342372268811,0.12028903535975832
46,0.8674836918404204,0.8628040584203487,-0.004679633420071716,4.8419856091642455,5.126628296060473,0.28464268689622774
47,0.8637462654773245,0.8569164343727008,-0.0068298311046236515,5.299561167427144,5.995863007888151,0.6963018404610075
48,0.8565541500084669,0.8610500335580028,0.004495883549535895,6.039537638609573,5.030299320736169,-1.0092383178734048
49,0.8680323353421583,0.8620351993682965,-0.005997135973861756,5.217383987029671,4.846172030612858,-0.37121195641681304
50,0.8613095616366548,0.8583380275827778,-0.0029715340538770674,5.59579677422181,5.4245059414030825,-0.1712908328187277
51,0.8550689741325441,0.8557350159779554,0.0006660418454113026,5.356363250595183,5.678591223247566,0.32222797265238334
52,0.8646702542973687,0.8690171107695085,0.004346856472139837,5.001526315722946,4.609702308699982,-0.39182400702296327
